FOLHA,ALTURA,LARGURA,AREA,RAZAO,PERIMETRO,TAMANHO RET,EIXO MENOR,EIXO MAIOR,CENTROIDE
1,250,195,31258.0,1.28,799.92,"(250, 195)",198.77,219.86,"(109.35406380554501, 98.57000886188125)"
2,314,200,35947.5,1.57,865.34,"(314, 200)",178.47,286.4,"(114.86557629825431, 108.50346935403932)"
